username,password,email,firstname,lastname,course1,role1
student10000,pass123,student10000@email.com,Student,10000,Tin 12 - CS,student
student10001,pass123,student10001@email.com,Student,10001,Tin 12 - CS,student
student10002,pass123,student10002@email.com,Student,10002,Tin 12 - CS,student
student10003,pass123,student10003@email.com,Student,10003,Tin 12 - CS,student
student10004,pass123,student10004@email.com,Student,10004,Tin 12 - CS,student
student10005,pass123,student10005@email.com,Student,10005,Tin 12 - CS,student
student10006,pass123,student10006@email.com,Student,10006,Tin 12 - CS,student
student10007,pass123,student10007@email.com,Student,10007,Tin 12 - CS,student
student10008,pass123,student10008@email.com,Student,10008,Tin 12 - CS,student
student10009,pass123,student10009@email.com,Student,10009,Tin 12 - CS,student
student10010,pass123,student10010@email.com,Student,10010,Tin 12 - CS,student
student10011,pass123,student10011@email.com,Student,10011,Tin 12 - CS,student
student10012,pass123,student10012@email.com,Student,10012,Tin 12 - CS,student
student10013,pass123,student10013@email.com,Student,10013,Tin 12 - CS,student
student10014,pass123,student10014@email.com,Student,10014,Tin 12 - CS,student
student10015,pass123,student10015@email.com,Student,10015,Tin 12 - CS,student
student10016,pass123,student10016@email.com,Student,10016,Tin 12 - CS,student
student10017,pass123,student10017@email.com,Student,10017,Tin 12 - CS,student
student10018,pass123,student10018@email.com,Student,10018,Tin 12 - CS,student
student10019,pass123,student10019@email.com,Student,10019,Tin 12 - CS,student
student10020,pass123,student10020@email.com,Student,10020,Tin 12 - CS,student
student10021,pass123,student10021@email.com,Student,10021,Tin 12 - CS,student
student10022,pass123,student10022@email.com,Student,10022,Tin 12 - CS,student
student10023,pass123,student10023@email.com,Student,10023,Tin 12 - CS,student
student10024,pass123,student10024@email.com,Student,10024,Tin 12 - CS,student
student10025,pass123,student10025@email.com,Student,10025,Tin 12 - CS,student
student10026,pass123,student10026@email.com,Student,10026,Tin 12 - CS,student
student10027,pass123,student10027@email.com,Student,10027,Tin 12 - CS,student
student10028,pass123,student10028@email.com,Student,10028,Tin 12 - CS,student
student10029,pass123,student10029@email.com,Student,10029,Tin 12 - CS,student
student10030,pass123,student10030@email.com,Student,10030,Tin 12 - CS,student
student10031,pass123,student10031@email.com,Student,10031,Tin 12 - CS,student
student10032,pass123,student10032@email.com,Student,10032,Tin 12 - CS,student
student10033,pass123,student10033@email.com,Student,10033,Tin 12 - CS,student
student10034,pass123,student10034@email.com,Student,10034,Tin 12 - CS,student
student10035,pass123,student10035@email.com,Student,10035,Tin 12 - CS,student
student10036,pass123,student10036@email.com,Student,10036,Tin 12 - CS,student
student10037,pass123,student10037@email.com,Student,10037,Tin 12 - CS,student
student10038,pass123,student10038@email.com,Student,10038,Tin 12 - CS,student
student10039,pass123,student10039@email.com,Student,10039,Tin 12 - CS,student
student10040,pass123,student10040@email.com,Student,10040,Tin 12 - CS,student
student10041,pass123,student10041@email.com,Student,10041,Tin 12 - CS,student
student10042,pass123,student10042@email.com,Student,10042,Tin 12 - CS,student
student10043,pass123,student10043@email.com,Student,10043,Tin 12 - CS,student
student10044,pass123,student10044@email.com,Student,10044,Tin 12 - CS,student
student10045,pass123,student10045@email.com,Student,10045,Tin 12 - CS,student
student10046,pass123,student10046@email.com,Student,10046,Tin 12 - CS,student
student10047,pass123,student10047@email.com,Student,10047,Tin 12 - CS,student
