id,username,password,email,firstname,lastname,group
5,student10000,pass123,student10000@email.com,Student,10000,khá
6,student10001,pass123,student10001@email.com,Student,10001,yếu
7,student10002,pass123,student10002@email.com,Student,10002,khá
8,student10003,pass123,student10003@email.com,Student,10003,yếu
9,student10004,pass123,student10004@email.com,Student,10004,khá
10,student10005,pass123,student10005@email.com,Student,10005,giỏi
11,student10006,pass123,student10006@email.com,Student,10006,yếu
12,student10007,pass123,student10007@email.com,Student,10007,khá
13,student10008,pass123,student10008@email.com,Student,10008,yếu
14,student10009,pass123,student10009@email.com,Student,10009,khá
15,student10010,pass123,student10010@email.com,Student,10010,yếu
16,student10011,pass123,student10011@email.com,Student,10011,khá
17,student10012,pass123,student10012@email.com,Student,10012,khá
18,student10013,pass123,student10013@email.com,Student,10013,khá
19,student10014,pass123,student10014@email.com,Student,10014,khá
20,student10015,pass123,student10015@email.com,Student,10015,yếu
21,student10016,pass123,student10016@email.com,Student,10016,giỏi
22,student10017,pass123,student10017@email.com,Student,10017,giỏi
23,student10018,pass123,student10018@email.com,Student,10018,khá
24,student10019,pass123,student10019@email.com,Student,10019,giỏi
25,student10020,pass123,student10020@email.com,Student,10020,khá
26,student10021,pass123,student10021@email.com,Student,10021,yếu
27,student10022,pass123,student10022@email.com,Student,10022,giỏi
28,student10023,pass123,student10023@email.com,Student,10023,giỏi
29,student10024,pass123,student10024@email.com,Student,10024,giỏi
30,student10025,pass123,student10025@email.com,Student,10025,khá
31,student10026,pass123,student10026@email.com,Student,10026,khá
32,student10027,pass123,student10027@email.com,Student,10027,yếu
33,student10028,pass123,student10028@email.com,Student,10028,khá
34,student10029,pass123,student10029@email.com,Student,10029,khá
35,student10030,pass123,student10030@email.com,Student,10030,yếu
36,student10031,pass123,student10031@email.com,Student,10031,giỏi
37,student10032,pass123,student10032@email.com,Student,10032,yếu
38,student10033,pass123,student10033@email.com,Student,10033,giỏi
39,student10034,pass123,student10034@email.com,Student,10034,khá
40,student10035,pass123,student10035@email.com,Student,10035,giỏi
41,student10036,pass123,student10036@email.com,Student,10036,yếu
42,student10037,pass123,student10037@email.com,Student,10037,khá
43,student10038,pass123,student10038@email.com,Student,10038,giỏi
44,student10039,pass123,student10039@email.com,Student,10039,khá
45,student10040,pass123,student10040@email.com,Student,10040,yếu
46,student10041,pass123,student10041@email.com,Student,10041,yếu
47,student10042,pass123,student10042@email.com,Student,10042,giỏi
48,student10043,pass123,student10043@email.com,Student,10043,giỏi
49,student10044,pass123,student10044@email.com,Student,10044,yếu
50,student10045,pass123,student10045@email.com,Student,10045,giỏi
51,student10046,pass123,student10046@email.com,Student,10046,khá
52,student10047,pass123,student10047@email.com,Student,10047,khá
53,student10048,pass123,student10048@email.com,Student,10048,giỏi
54,student10049,pass123,student10049@email.com,Student,10049,yếu
55,student10050,pass123,student10050@email.com,Student,10050,khá
56,student10051,pass123,student10051@email.com,Student,10051,yếu
57,student10052,pass123,student10052@email.com,Student,10052,giỏi
58,student10053,pass123,student10053@email.com,Student,10053,giỏi
59,student10054,pass123,student10054@email.com,Student,10054,khá
60,student10055,pass123,student10055@email.com,Student,10055,khá
61,student10056,pass123,student10056@email.com,Student,10056,yếu
62,student10057,pass123,student10057@email.com,Student,10057,yếu
63,student10058,pass123,student10058@email.com,Student,10058,khá
64,student10059,pass123,student10059@email.com,Student,10059,khá
65,student10060,pass123,student10060@email.com,Student,10060,yếu
66,student10061,pass123,student10061@email.com,Student,10061,khá
67,student10062,pass123,student10062@email.com,Student,10062,yếu
68,student10063,pass123,student10063@email.com,Student,10063,yếu
69,student10064,pass123,student10064@email.com,Student,10064,giỏi
70,student10065,pass123,student10065@email.com,Student,10065,khá
71,student10066,pass123,student10066@email.com,Student,10066,giỏi
72,student10067,pass123,student10067@email.com,Student,10067,yếu
73,student10068,pass123,student10068@email.com,Student,10068,khá
74,student10069,pass123,student10069@email.com,Student,10069,giỏi
75,student10070,pass123,student10070@email.com,Student,10070,khá
76,student10071,pass123,student10071@email.com,Student,10071,khá
77,student10072,pass123,student10072@email.com,Student,10072,khá
78,student10073,pass123,student10073@email.com,Student,10073,khá
